Date : 2024-03-12 14:31:10
Directory : d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src
Total : 59 files,  2865 codes, 191 comments, 246 blanks, all 3302 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| views\ad\permission                                                                             |          1 |          5 |          0 |          2 |          7 |
| views\ad\roler                                                                                  |          1 |          5 |          0 |          2 |          7 |
| views\ad\user                                                                                   |          1 |         16 |          0 |          3 |         19 |
| views\home                                                                                      |          1 |         13 |          0 |          5 |         18 |
| views\login                                                                                     |          1 |        158 |          0 |         11 |        169 |
| views\product                                                                                   |          6 |        952 |          5 |         63 |      1,020 |
| views\product\attr                                                                              |          1 |        285 |          1 |         13 |        299 |
| views\product\sku                                                                               |          1 |          7 |          0 |          2 |          9 |
| views\product\spu                                                                               |          3 |        301 |          0 |         23 |        324 |
| views\product\trademark                                                                         |          1 |        359 |          4 |         25 |        388 |
| views\screen                                                                                    |          1 |          5 |          0 |          2 |          7 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                        | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\App.vue                              | Vue        |         13 |          0 |          2 |         15 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\attr\index.ts            | TypeScript |         37 |         10 |          4 |         51 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\attr\type.ts             | TypeScript |         66 |          2 |         10 |         78 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\spu\index.ts             | TypeScript |         33 |          6 |          7 |         46 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\spu\type.ts              | TypeScript |         73 |          3 |         11 |         87 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\trademark\index.ts       | TypeScript |         38 |         14 |          7 |         59 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\trademark\type.ts        | TypeScript |         33 |          1 |          3 |         37 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\user\index.ts                    | TypeScript |         16 |          6 |          3 |         25 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\user\type.ts                     | TypeScript |         21 |          5 |          3 |         29 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\assets\icons\copyright.svg           | XML        |          1 |          0 |          0 |          1 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\assets\icons\exit-full.svg           | XML        |          1 |          0 |          0 |          1 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\assets\icons\full-screen.svg         | XML        |          1 |          0 |          0 |          1 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\assets\icons\home.svg                | XML        |          1 |          0 |          0 |          1 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\assets\icons\loading.svg             | XML        |          1 |          0 |          0 |          1 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\assets\icons\lock.svg                | XML        |          1 |          0 |          0 |          1 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\assets\icons\logout.svg              | XML        |          1 |          0 |          0 |          1 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\assets\icons\phone.svg               | XML        |          1 |          0 |          0 |          1 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\assets\icons\refresh.svg             | XML        |          1 |          0 |          0 |          1 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\assets\icons\welcome.svg             | XML        |        176 |          0 |          1 |        177 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\components\Category\index.vue        | Vue        |        108 |          0 |          7 |        115 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\components\Svgicon\index.vue         | Vue        |         30 |          2 |          4 |         36 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\components\index.ts                  | TypeScript |         14 |          7 |          3 |         24 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\layout\index.vue                     | Vue        |        105 |          6 |          9 |        120 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\layout\logo\index.vue                | Vue        |         23 |          0 |          2 |         25 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\layout\main\index.vue                | Vue        |         51 |          2 |          2 |         55 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\layout\menu\index.vue                | Vue        |         70 |          4 |          6 |         80 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\layout\tabbar\index.vue              | Vue        |         49 |          1 |          2 |         52 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\layout\tabbar\left_tabbar\index.vue  | Vue        |         35 |          5 |          5 |         45 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\layout\tabbar\right_tabbar\index.vue | Vue        |         84 |          2 |          5 |         91 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\main.ts                              | TypeScript |         19 |          5 |          1 |         25 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\perimissiion.ts                      | TypeScript |         42 |         24 |          6 |         72 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\router\index.ts                      | TypeScript |         13 |          2 |          3 |         18 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\router\routes.ts                     | TypeScript |        158 |         10 |          2 |        170 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\setting.ts                           | TypeScript |          5 |          1 |          1 |          7 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\store\index.ts                       | TypeScript |          5 |          3 |          1 |          9 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\store\modules\category.ts            | TypeScript |         56 |         10 |          3 |         69 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\store\modules\setting.ts             | TypeScript |         10 |          2 |          2 |         14 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\store\modules\user.ts                | TypeScript |         56 |         19 |          3 |         78 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\store\types\type.ts                  | TypeScript |          7 |          1 |          2 |         10 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\styles\index.scss                    | SCSS       |         12 |          1 |          3 |         16 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\styles\reset.scss                    | SCSS       |        164 |          5 |         21 |        190 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\styles\variable.scss                 | SCSS       |          5 |          6 |          4 |         15 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\utils\request.ts                     | TypeScript |         47 |         15 |          5 |         67 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\utils\time.ts                        | TypeScript |         14 |          2 |          1 |         17 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\utils\token.ts                       | TypeScript |          9 |          3 |          1 |         13 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\404\index.vue                  | Vue        |          5 |          0 |          2 |          7 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\ad\permission\index.vue        | Vue        |          5 |          0 |          2 |          7 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\ad\roler\index.vue             | Vue        |          5 |          0 |          2 |          7 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\ad\user\index.vue              | Vue        |         16 |          0 |          3 |         19 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\home\index.vue                 | Vue        |         13 |          0 |          5 |         18 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\login\index.vue                | Vue        |        158 |          0 |         11 |        169 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\product\attr\index.vue         | Vue        |        285 |          1 |         13 |        299 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\product\sku\index.vue          | Vue        |          7 |          0 |          2 |          9 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\product\spu\index.vue          | Vue        |        157 |          0 |          9 |        166 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\product\spu\skuForm.vue        | Vue        |          5 |          0 |          3 |          8 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\product\spu\spuForm.vue        | Vue        |        139 |          0 |         11 |        150 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\product\trademark\index.vue    | Vue        |        359 |          4 |         25 |        388 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\screen\index.vue               | Vue        |          5 |          0 |          2 |          7 |
| d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\vite-env.d.ts                        | TypeScript |          0 |          1 |          1 |          2 |
| Total                                                                                           |            |      2,865 |        191 |        246 |      3,302 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
